a. Dili, b. Bandar Seri Begawan, c. Port Moresby
a. Namibia, b. Zambia, c. Botswana
a. Maldives, b. Seychelles, c. Mauritius
a. Victoria, b. Georgetown, c. Moroni
a. El Salvador, b. Nicaragua, c. Honduras
a. Vaduz, b. Luxembuorg, c. Hamburg
a. Vilnius, b. Talinn, c. Helsinki
a. Georgia, b. Azerbaijan, c. Armenia
a. Nicosia, b. Tel Aviv, c. Aleppo
a. Chad, b. Mauritania, c. Mali
a. Yaren District, b. Koror, c. Naku alofa
a. San Marino, b. Tunis, c. Valetta
a. St. Vincent and the Grenadines, b. St. Lucia, c. St. Kitts and Nevis
a. N'Djamena, b. Bangui, c. Juba
a. Hungary, b. Romania, c. Moldova 
